@RELATION code_smells_extended

@ATTRIBUTE loc NUMERIC
@ATTRIBUTE wmc NUMERIC
@ATTRIBUTE cbo NUMERIC
@ATTRIBUTE lcom NUMERIC
@ATTRIBUTE rfc NUMERIC
@ATTRIBUTE noc NUMERIC
@ATTRIBUTE totalmethodsqty NUMERIC
@ATTRIBUTE totalfieldsqty NUMERIC
@ATTRIBUTE is_functional_decomposition {yes,no}
@ATTRIBUTE is_data_class {yes,no}
@ATTRIBUTE is_lazy_class {yes,no}
@ATTRIBUTE is_spaghetti {yes,no}
@ATTRIBUTE is_swiss_army_knife {yes,no}
@ATTRIBUTE is_blob {yes,no}
@ATTRIBUTE has_long_method {yes,no}
@ATTRIBUTE has_long_parameter_list {yes,no}

@DATA
59,15,4,0,19,0,7,2,no,no,no,no,no,no,no,no
5,1,16,0,0,0,1,0,no,no,yes,no,no,no,no,no
2,0,5,0,0,0,0,0,no,no,yes,no,no,no,no,no
16,4,0,2,0,0,4,2,no,no,no,no,no,no,no,no
33,11,4,10,19,0,5,1,no,no,no,no,no,no,no,no
3,1,2,0,0,0,1,0,no,no,yes,no,no,no,no,no
50,13,15,13,11,1,7,6,no,no,no,no,no,no,no,no
2,0,2,0,0,0,0,0,no,no,yes,no,no,no,no,no
65,18,0,135,0,0,18,9,no,no,no,no,no,no,no,no
28,6,6,0,12,0,5,4,no,no,no,no,no,no,no,no
15,2,14,0,0,0,2,1,no,no,yes,no,no,no,no,no
4,1,2,0,0,0,1,0,no,no,yes,no,no,no,no,no
3,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
112,10,14,26,7,0,9,4,no,no,no,no,no,no,no,no
13,4,9,1,1,0,2,0,no,no,yes,no,no,no,no,no
5,1,1,0,1,0,1,0,no,no,yes,no,no,no,no,no
13,1,7,0,0,0,1,0,no,no,yes,no,no,no,no,no
26,4,3,0,6,0,3,1,no,no,no,no,no,no,no,no
9,2,2,0,0,0,2,1,no,no,yes,no,no,no,no,no
13,3,12,1,0,0,2,1,no,no,yes,no,no,no,no,no
16,4,0,2,0,0,4,2,no,no,no,no,no,no,no,no
13,3,6,0,3,0,1,2,no,no,yes,no,no,no,no,no
5,1,11,0,0,0,1,0,no,no,yes,no,no,no,no,no
3,1,1,0,0,0,1,0,no,no,yes,no,no,no,no,no
6,1,3,0,7,0,1,0,no,no,yes,no,no,no,no,no
11,3,15,3,2,0,3,0,no,no,no,no,no,no,no,no
2,0,2,0,0,0,0,0,no,no,yes,no,no,no,no,no
9,2,0,0,0,0,2,1,no,no,yes,no,no,no,no,no
44,6,4,0,3,0,4,1,no,no,no,no,no,no,no,no
3,1,0,0,0,0,1,0,no,no,yes,no,no,no,no,no
3,1,3,0,0,0,1,0,no,no,yes,no,no,no,no,no
102,22,3,191,24,0,22,14,no,no,no,no,no,no,no,no
16,3,6,0,2,0,3,3,no,no,no,no,no,no,no,no
24,7,1,1,9,0,2,1,no,no,yes,no,no,no,no,no
39,2,11,1,0,0,2,0,no,no,yes,no,no,no,no,no
23,7,7,21,5,0,7,0,no,no,no,no,no,no,no,no
24,6,8,15,5,0,6,0,no,no,no,no,no,no,no,no
26,7,4,0,5,0,7,2,no,no,no,no,no,no,no,no
59,8,25,21,7,0,7,0,no,no,no,no,no,no,no,yes
35,7,7,4,9,0,5,1,no,no,no,no,no,no,no,no
2,0,2,0,0,0,0,0,no,no,yes,no,no,no,no,no
9,2,0,0,0,0,2,1,no,no,yes,no,no,no,no,no
13,4,6,3,5,0,3,0,no,no,no,no,no,no,no,no
8,2,11,1,3,0,2,0,no,no,yes,no,no,no,no,no
5,1,2,0,0,0,1,0,no,no,yes,no,no,no,no,no
48,10,8,0,8,0,4,6,no,no,no,no,no,no,no,no
