file,class,method,variable,usage
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-visits-service/src/main/java/org/springframework/samples/petclinic/visits/VisitsServiceApplication.java,org.springframework.samples.petclinic.visits.VisitsServiceApplication,main/1[java.lang.String[]],args,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-visits-service/src/main/java/org/springframework/samples/petclinic/visits/web/VisitResource.java,org.springframework.samples.petclinic.visits.web.VisitResource,visitsMultiGet/1[java.util.List<java.lang.Integer>],petIds,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-visits-service/src/main/java/org/springframework/samples/petclinic/visits/web/VisitResource.java,org.springframework.samples.petclinic.visits.web.VisitResource,visitsMultiGet/1[java.util.List<java.lang.Integer>],byPetIdIn,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-visits-service/src/main/java/org/springframework/samples/petclinic/visits/web/VisitResource.java,org.springframework.samples.petclinic.visits.web.VisitResource,visits/1[int],petId,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-visits-service/src/main/java/org/springframework/samples/petclinic/visits/web/VisitResource.java,org.springframework.samples.petclinic.visits.web.VisitResource,"create/2[org.springframework.samples.petclinic.visits.model.Visit,int]",petId,1
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-visits-service/src/main/java/org/springframework/samples/petclinic/visits/web/VisitResource.java,org.springframework.samples.petclinic.visits.web.VisitResource,"create/2[org.springframework.samples.petclinic.visits.model.Visit,int]",visit,3
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-visits-service/src/main/java/org/springframework/samples/petclinic/visits/model/VisitRepository.java,org.springframework.samples.petclinic.visits.model.VisitRepository,findByPetIdIn/1[java.util.Collection<java.lang.Integer>],petIds,0
/Users/alikhan/git/nui-mcs/Capstone Project/work/microsmellbert/spring-petclinic-microservices-experiment/../spring-petclinic-microservices/spring-petclinic-visits-service/src/main/java/org/springframework/samples/petclinic/visits/model/VisitRepository.java,org.springframework.samples.petclinic.visits.model.VisitRepository,findByPetId/1[int],petId,0
