file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/data/travel2/controller/Travel2Controller.java,travel2.controller.Travel2Controller,class,21,22,1,21,17,1,0,20,0,0.083333336,0.8333333,0.8333333,12,0,12,0,0,0,12,0,0,0,2,1,0,2,0,0,1,0,0,56,13,0,5,0,0,34,2,2,0,3,1,0,0,0,67,1,12
/data/travel2/Travel2Application.java,travel2.Travel2Application,class,11,12,1,11,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/data/travel2/entity/AdminTrip.java,travel2.entity.AdminTrip,class,4,5,1,4,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,1,0
/data/travel2/service/TravelServiceImpl.java,travel2.service.TravelServiceImpl$Anonymous4,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/travel2/service/TravelServiceImpl.java,travel2.service.TravelServiceImpl$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/travel2/service/TravelService.java,travel2.service.TravelService,interface,5,8,3,5,12,1,0,0,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
/data/travel2/service/TravelServiceImpl.java,travel2.service.TravelServiceImpl$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/travel2/service/TravelServiceImpl.java,travel2.service.TravelServiceImpl$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/data/travel2/init/InitData.java,travel2.init.InitData,class,5,5,0,5,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,0,0,5,0,0,0,55,0,0,0,0,0,26,0,5,0,6,0,0,0,0,33,1,0
/data/travel2/config/SecurityConfig.java,travel2.config.SecurityConfig$Anonymous1,anonymous,1,1,0,1,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,-1,0
/data/travel2/entity/Trip.java,travel2.entity.Trip,class,12,17,5,12,3,1,0,1,0,0.2962963,1.0,1.0,3,0,3,0,0,0,3,0,0,0,9,0,0,9,0,0,0,0,0,36,0,0,0,0,0,13,1,19,0,9,0,0,0,0,18,1,0
/data/travel2/config/SecurityConfig.java,travel2.config.SecurityConfig,class,13,13,0,13,3,2,0,15,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,2,0,0,0,0,2,0,0,0,19,2,0,0,0,0,9,0,2,0,2,0,1,0,0,67,1,0
/data/travel2/repository/TripRepository.java,travel2.repository.TripRepository,interface,4,5,1,4,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/data/travel2/entity/Travel.java,travel2.entity.Travel,class,2,3,1,2,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,1,0
/data/travel2/service/TravelServiceImpl.java,travel2.service.TravelServiceImpl,class,29,30,1,29,53,1,0,99,0,0.6416667,1.0,1.0,20,1,12,8,0,0,12,0,0,0,6,1,0,3,0,3,1,0,6,370,42,5,20,1,0,66,33,89,20,89,3,4,0,0,147,1,28
/data/travel2/entity/TripAllDetail.java,travel2.entity.TripAllDetail,class,5,6,1,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,1,0
