service,cbo_mean,wmc_mean,dit_mean,noc_mean,rfc_mean,lcom_mean,loc_mean,fanin_mean,fanout_mean,tcc_mean,lcc_mean,num_classes
ts-contacts-service,8.416666666666666,6.5,1.0833333333333333,0.0,11.916666666666666,3.1666666666666665,33.083333333333336,1.75,8.416666666666666,0.427380957,0.46071428700000006,12
ts-admin-user-service,7.0,3.0,1.0769230769230769,0.0,6.0,0.7692307692307693,17.53846153846154,1.0,7.0,-0.15,-0.15,13
ts-notification-service,6.647058823529412,3.4705882352941178,1.0588235294117647,0.0,8.058823529411764,2.0,24.705882352941178,1.5294117647058822,6.647058823529412,0.23968254299999997,0.23968254299999997,17
ts-cancel-service,4.0476190476190474,3.0476190476190474,1.0476190476190477,0.0,5.571428571428571,0.2857142857142857,20.952380952380953,0.38095238095238093,4.0476190476190474,-0.44999999882352937,-0.44999999882352937,21
ts-config-service,8.272727272727273,4.7272727272727275,1.0909090909090908,0.0,8.636363636363637,1.5454545454545454,24.636363636363637,1.6363636363636365,8.272727272727273,0.4983165,0.4983165,11
ts-assurance-service,7.214285714285714,6.428571428571429,1.0714285714285714,0.0,10.071428571428571,3.2857142857142856,33.07142857142857,1.5714285714285714,7.214285714285714,0.34897292545454545,0.4009209772727273,14
ts-order-other-service,8.666666666666666,12.733333333333333,1.0666666666666667,0.0,19.066666666666666,13.133333333333333,67.53333333333333,1.8666666666666667,8.666666666666666,0.18959028999999997,0.19884258999999996,15
ts-route-service,8.333333333333334,5.75,1.0833333333333333,0.0,10.75,2.4166666666666665,33.0,1.6666666666666667,8.333333333333334,0.354761903,0.354761903,12
ts-price-service,8.545454545454545,5.909090909090909,1.0909090909090908,0.0,12.454545454545455,2.8181818181818183,35.72727272727273,1.6363636363636365,8.545454545454545,0.44345237875,0.44345237875,11
ts-preserve-service,5.75,2.6,1.05,0.0,10.95,0.25,23.65,0.5,5.75,-0.46,-0.46,20
ts-security-service,8.076923076923077,4.230769230769231,1.0769230769230769,0.0,9.461538461538462,1.5384615384615385,24.076923076923077,1.3846153846153846,8.076923076923077,0.14666667,0.14666667,13
ts-consign-service,6.166666666666667,3.0,1.0555555555555556,0.0,7.222222222222222,1.1111111111111112,19.22222222222222,1.1111111111111112,6.166666666666667,-0.18095237857142857,-0.18095237857142857,18
ts-train-service,8.454545454545455,6.818181818181818,1.0909090909090908,0.0,10.181818181818182,3.272727272727273,36.09090909090909,1.6363636363636365,8.454545454545455,0.4314814822222222,0.4314814822222222,11
ts-order-service,8.666666666666666,13.2,1.0666666666666667,0.0,18.8,15.733333333333333,71.13333333333334,1.8666666666666667,8.666666666666666,0.17812733999999997,0.1898794775,15
ts-verification-code-service,7.545454545454546,13.0,1.0909090909090908,0.0,9.454545454545455,274.90909090909093,73.9090909090909,0.9090909090909091,7.545454545454546,0.33333333400000004,0.33333333400000004,11
ts-food-service,6.705882352941177,5.352941176470588,1.0588235294117647,0.0,8.764705882352942,2.0588235294117645,28.470588235294116,1.2941176470588236,6.705882352941177,-0.001869342727272733,-0.001869342727272733,17
ts-station-food-service,8.727272727272727,5.0,1.0909090909090908,0.0,10.181818181818182,2.1818181818181817,25.363636363636363,1.5454545454545454,8.727272727272727,0.422222225,0.422222225,11
ts-rebook-service,7.615384615384615,6.538461538461538,1.0769230769230769,0.0,12.846153846153847,3.076923076923077,40.23076923076923,1.0,7.615384615384615,-0.18787878727272725,-0.18787878727272725,13
ts-train-food-service,8.0,3.4444444444444446,1.1111111111111112,0.0,6.555555555555555,1.5555555555555556,16.11111111111111,1.3333333333333333,8.0,0.22222222333333333,0.22222222333333333,9
ts-admin-basic-info-service,11.555555555555555,12.333333333333334,1.1111111111111112,0.0,13.555555555555555,21.555555555555557,64.44444444444444,1.4444444444444444,11.555555555555555,0.351190475,0.351190475,9
ts-food-delivery-service,7.75,3.5,1.0625,0.0,6.4375,2.0625,20.25,1.8125,7.75,-0.24786324615384617,-0.24786324615384617,16
ts-consign-price-service,8.454545454545455,3.5454545454545454,1.0909090909090908,0.0,9.363636363636363,0.9090909090909091,21.363636363636363,1.7272727272727273,8.454545454545455,0.4785714285714286,0.4785714285714286,11
ts-wait-order-service,6.785714285714286,5.357142857142857,1.1428571428571428,0.0,7.928571428571429,2.142857142857143,25.0,1.5,6.785714285714286,0.33035714499999996,0.381944445,14
ts-basic-service,9.88888888888889,9.0,1.1111111111111112,0.0,15.0,0.7777777777777778,56.0,0.8888888888888888,9.88888888888889,0.19702381000000002,0.19702381000000002,9
ts-preserve-other-service,5.523809523809524,2.4761904761904763,1.0476190476190477,0.0,10.428571428571429,0.23809523809523808,22.80952380952381,0.47619047619047616,5.523809523809524,-0.49375,-0.49375,21
ts-common,2.792452830188679,3.0943396226415096,1.150943396226415,0.018867924528301886,2.3773584905660377,1.4150943396226414,18.452830188679247,0.7735849056603774,2.792452830188679,0.07157287727272725,0.15151515212121214,53
ts-station-service,8.727272727272727,7.818181818181818,1.0909090909090908,0.0,11.818181818181818,4.181818181818182,41.36363636363637,1.6363636363636365,8.727272727272727,0.5191682888888889,0.5191682888888889,11
ts-auth-service,8.08,2.92,1.16,0.0,8.44,1.68,16.16,2.04,8.08,-0.003703703333333339,-0.003703703333333339,25
ts-user-service,7.933333333333334,4.733333333333333,1.0666666666666667,0.0,10.4,1.6666666666666667,26.2,1.6,7.933333333333334,0.09035409666666668,0.1300366325,15
ts-route-plan-service,5.6875,3.3125,1.0625,0.0,7.875,0.9375,24.5625,0.5,5.6875,-0.4,-0.4,16
